     0/149     1.82G   0.04219   0.04248   0.02455    0.1092        58       640 0.0006967   0.04512 0.0001319 2.141e-05     0.103   0.09393   0.02299
     1/149     6.56G   0.04064   0.04159   0.02223    0.1045        38       640  0.007454    0.0289  0.002733 0.0005019   0.09959   0.09816   0.02093
     2/149     7.89G   0.03815   0.03866   0.01855   0.09536        21       640    0.8637    0.1129   0.09003   0.02717   0.09312   0.09038   0.01789
     3/149     7.89G   0.03502   0.03631   0.01416   0.08549        29       640     0.937    0.1458     0.176   0.06442    0.0897   0.09175   0.01777
     4/149     7.89G   0.03323   0.03533   0.01273   0.08128        30       640    0.6777    0.1591    0.1895   0.06983   0.08817   0.09244   0.01752
     5/149     7.89G   0.03226   0.03408   0.01151   0.07785         6       640    0.2395    0.2931    0.2351   0.08604   0.08609    0.0954   0.01634
     6/149     7.89G   0.03167   0.03335    0.0102   0.07522         6       640    0.4747    0.3452    0.3399    0.1271    0.0833    0.0968   0.01522
     7/149     7.89G    0.0306   0.03276  0.008402   0.07176         8       640    0.5019     0.397    0.4065    0.1528   0.08123   0.09832   0.01414
     8/149     7.89G   0.02978    0.0317  0.007438   0.06892        32       640    0.5669     0.413    0.4292    0.1646   0.07983    0.1011   0.01391
     9/149     7.89G   0.02944     0.031  0.006913   0.06735        45       640    0.5547    0.4456    0.4599    0.1781   0.07887   0.09707    0.0132
    10/149     7.89G   0.02868   0.03054  0.006361   0.06558        61       640    0.5653    0.4814    0.4897    0.1917   0.07685    0.1024    0.0136
    11/149     7.89G   0.02827   0.02998  0.006101   0.06435        31       640    0.5587    0.5121    0.5054    0.2014   0.07514    0.1048   0.01351
    12/149     7.89G   0.02797   0.03003  0.005722   0.06373        39       640    0.5202    0.5313    0.5161    0.2042   0.07393    0.1076   0.01241
    13/149     7.89G   0.02748   0.02952  0.005235   0.06224        14       640    0.6448    0.5167     0.555    0.2228   0.07295      0.11   0.01289
